Nom,Valor,% Dif,Max,Min,Volum,Efectiu (milers euros),Data,Hora
IBEX 35,"9.742,80","0,62","9.790,20","9.716,80",,,09/04/2018,17:38
ABERTIS,"18,2000","0,03","18,2150","18,1900",2.159.061,"39.293,38",09/04/2018,Cierre
ACCIONA,"65,8400","0,06","66,9000","65,6600",339.599,"22.493,31",09/04/2018,Cierre
ACERINOX,"11,4200","-0,87","11,6250","11,3550",678.494,"7.766,14",09/04/2018,Cierre
ACS,"32,1200","0,66","32,4600","32,0600",780.822,"25.137,27",09/04/2018,Cierre
AENA,"170,9500","2,00","170,9500","167,6500",146.704,"24.969,53",09/04/2018,Cierre
AMADEUS,"61,0000","0,99","61,2400","60,5800",475.864,"29.033,20",09/04/2018,Cierre
ARCELORMIT.,"25,5350","0,12","25,9350","25,0550",254.096,"6.481,17",09/04/2018,Cierre
BA.SABADELL,"1,6775","0,93","1,6820","1,6670",8.659.115,"14.508,47",09/04/2018,Cierre
BA.SANTANDER,"5,3600","0,43","5,3960","5,3370",36.136.331,"193.858,07",09/04/2018,Cierre
BANKIA,"3,7000","1,54","3,7140","3,6590",3.863.417,"14.261,45",09/04/2018,Cierre
BANKINTER,"8,3980","0,62","8,4320","8,3500",1.599.897,"13.440,39",09/04/2018,Cierre
BBVA,"6,4310","1,34","6,4670","6,3810",100.476.112,"644.444,01",09/04/2018,Cierre
CAIXABANK,"3,9190","1,27","3,9280","3,8770",72.309.002,"283.200,96",09/04/2018,Cierre
CELLNEX,"22,3900","1,59","22,3900","22,0700",2.159.854,"48.035,16",09/04/2018,Cierre
DIA,"3,4940","0,29","3,5650","3,4700",2.185.413,"7.665,05",09/04/2018,Cierre
ENAGAS,"22,7400","1,43","22,8000","22,3800",790.861,"17.936,71",09/04/2018,Cierre
ENDESA,"18,0000","0,06","18,1500","17,9750",993.963,"17.955,63",09/04/2018,Cierre
FERROVIAL,"17,2550","1,29","17,2750","17,0550",1.472.247,"25.363,70",09/04/2018,Cierre
GAS NATURAL,"19,7700","0,51","19,8600","19,6700",805.883,"15.922,16",09/04/2018,Cierre
GRIFOLS CL.A,"22,9300","0,70","23,0800","22,8000",485.600,"11.137,33",09/04/2018,Cierre
IAG,"7,1780","1,70","7,1800","7,1000",2.891.905,"20.621,52",09/04/2018,Cierre
IBERDROLA,"6,0400","0,50","6,0880","6,0220",13.714.532,"82.901,95",09/04/2018,Cierre
INDITEX,"26,0900","0,19","26,4500","26,0400",2.541.501,"66.478,89",09/04/2018,Cierre
INDRA A,"11,1100","-1,59","11,4000","11,1100",483.255,"5.425,24",09/04/2018,Cierre
INM.COLONIAL,"9,4500","0,32","9,5750","9,4250",600.878,"5.698,14",09/04/2018,Cierre
MAPFRE,"2,7380","-0,54","2,7780","2,7330",2.866.556,"7.864,90",09/04/2018,Cierre
MEDIASET,"8,1180","-0,39","8,2600","8,1100",1.147.851,"9.360,49",09/04/2018,Cierre
MELIA HOTELS,"11,5600","1,05","11,7400","11,4900",374.256,"4.348,05",09/04/2018,Cierre
MERLIN,"12,4300","0,81","12,4900","12,3750",2.556.328,"31.696,96",09/04/2018,Cierre
R.E.C.,"16,5150","0,21","16,5900","16,4250",1.477.270,"24.421,49",09/04/2018,Cierre
REPSOL,"14,9750","-0,20","15,1650","14,9250",4.558.526,"68.447,42",09/04/2018,Cierre
SIEMENS GAME,"13,7750","0,55","13,8250","13,4050",1.773.278,"24.228,92",09/04/2018,Cierre
TEC.REUNIDAS,"24,5200","-2,54","25,4700","24,3100",328.918,"8.129,54",09/04/2018,Cierre
TELEFONICA,"8,1720","0,39","8,2430","8,1540",12.378.338,"107.579,53",09/04/2018,Cierre
VISCOFAN,"56,0000","-0,44","56,6000","55,9000",60.802,"3.414,12",09/04/2018,Cierre
IBEX 35,"9.801,90","0,61","9.803,30","9.798,50",,,10/04/2018,09:00
ABERTIS,"18,2100","0,05","18,2100","18,2050",36.986,"673,51",10/04/2018,09:00
ACCIONA,"66,2800","0,67","66,2800","66,2600",1.076,"71,30",10/04/2018,09:00
ACERINOX,"11,5350","1,01","11,5350","11,5200",7.046,"81,23",10/04/2018,09:00
ACS,"33,0000","2,74","33,0000","32,9000",27.886,"917,62",10/04/2018,09:00
AENA,"172,1500","0,70","172,5500","172,1500",3.655,"629,41",10/04/2018,09:00
AMADEUS,"61,6800","1,11","61,7200","61,6800",12.239,"754,92",10/04/2018,09:00
ARCELORMIT.,"26,0000","1,82","26,0700","26,0000",15.132,"393,67",10/04/2018,09:00
BA.SABADELL,"1,6815","0,24","1,6815","1,6815",101.958,"171,44",10/04/2018,09:00
BA.SANTANDER,"5,3880","0,52","5,3880","5,3820",634.241,"3.415,40",10/04/2018,09:00
BANKIA,"3,7140","0,38","3,7220","3,7140",125.006,"465,18",10/04/2018,09:00
BANKINTER,"8,4300","0,38","8,4300","8,4300",40.621,"342,44",10/04/2018,09:00
BBVA,"6,4700","0,61","6,4800","6,4690",418.016,"2.708,53",10/04/2018,09:00
CAIXABANK,"3,9450","0,66","3,9450","3,9400",129.094,"508,68",10/04/2018,09:00
CELLNEX,"22,3800","-0,04","22,4000","22,3800",12.900,"288,94",10/04/2018,09:00
DIA,"3,5100","0,46","3,5100","3,5100",15.296,"53,69",10/04/2018,09:00
ENAGAS,"22,8800","0,62","22,8800","22,8500",21.442,"490,36",10/04/2018,09:00
ENDESA,"18,0950","0,53","18,1050","18,0950",7.880,"142,67",10/04/2018,09:00
FERROVIAL,"17,3800","0,72","17,3800","17,3600",12.314,"213,78",10/04/2018,09:00
GAS NATURAL,"19,8700","0,51","19,8700","19,8700",11.846,"235,38",10/04/2018,09:00
GRIFOLS CL.A,"23,1600","1,00","23,1700","23,1600",12.575,"291,24",10/04/2018,09:00
IAG,"7,2200","0,59","7,2280","7,2200",104.501,"754,73",10/04/2018,09:00
IBERDROLA,"6,0680","0,46","6,0680","6,0680",148.556,"901,44",10/04/2018,09:00
INDITEX,"26,2000","0,42","26,2000","26,1200",74.660,"1.950,13",10/04/2018,09:00
INDRA A,"11,1900","0,72","11,1900","11,1900",2.142,"23,97",10/04/2018,09:00
INM.COLONIAL,"9,5000","0,53","9,5000","9,5000",6.541,"62,14",10/04/2018,09:00
MAPFRE,"2,7500","0,44","2,7500","2,7500",34.580,"95,10",10/04/2018,09:00
MEDIASET,"8,1920","0,91","8,1920","8,1920",23.769,"194,72",10/04/2018,09:00
MELIA HOTELS,"11,5600","0,00","11,6200","11,5600",4.498,"52,20",10/04/2018,09:00
MERLIN,"12,4600","0,24","12,4800","12,4550",6.902,"86,12",10/04/2018,09:00
R.E.C.,"16,5600","0,27","16,5850","16,5600",16.601,"275,08",10/04/2018,09:00
REPSOL,"15,1050","0,87","15,1050","15,1000",51.070,"771,16",10/04/2018,09:00
SIEMENS GAME,"13,8000","0,18","13,8000","13,7800",24.537,"338,58",10/04/2018,09:00
TEC.REUNIDAS,"24,8000","1,14","24,8300","24,6800",2.843,"70,20",10/04/2018,09:00
TELEFONICA,"8,2200","0,59","8,2200","8,2100",94.315,"774,33",10/04/2018,09:00
VISCOFAN,"56,2500","0,45","56,2500","56,2500",265,"14,91",10/04/2018,09:00
IBEX 35,"9.803,30","0,62","9.806,00","9.798,50",,,10/04/2018,09:01
ABERTIS,"18,2100","0,05","18,2100","18,2050",42.432,"772,67",10/04/2018,09:01
ACCIONA,"66,3400","0,76","66,3400","66,2600",1.219,"80,78",10/04/2018,09:01
ACERINOX,"11,5500","1,14","11,5500","11,5200",13.391,"154,46",10/04/2018,09:01
