Nom,Valor,% Dif,Max,Min,Volum,Efectiu (milers euros),Data,Hora
IBEX 35,"9.747,00","0,12","9.767,60","9.706,10",,,12/04/2018,17:38
ABERTIS,"18,2050","-0,19","18,2750","18,2050",9.862.451,"179.834,63",12/04/2018,Cierre
ACCIONA,"66,8200","1,33","67,3000","65,3200",194.134,"12.956,06",12/04/2018,Cierre
ACERINOX,"11,6650","1,00","11,7000","11,5000",676.586,"7.839,30",12/04/2018,Cierre
ACS,"33,1100","0,33","33,2500","32,8400",501.243,"16.597,04",12/04/2018,Cierre
AENA,"169,7000","-1,14","171,5000","169,0500",5.346.224,"910.594,24",12/04/2018,Cierre
AMADEUS,"61,5200","-0,10","62,0000","61,0200",790.313,"48.468,29",12/04/2018,Cierre
ARCELORMIT.,"26,2600","1,37","26,3150","25,7100",183.820,"4.778,87",12/04/2018,Cierre
BA.SABADELL,"1,7800","4,12","1,7800","1,7100",62.666.726,"110.790,36",12/04/2018,Cierre
BA.SANTANDER,"5,3430","0,38","5,3770","5,3080",27.440.772,"146.563,24",12/04/2018,Cierre
BANKIA,"3,7010","-0,67","3,7400","3,6540",34.932.848,"128.966,27",12/04/2018,Cierre
BANKINTER,"8,4000","0,10","8,4180","8,3360",1.042.150,"8.740,19",12/04/2018,Cierre
BBVA,"6,3290","-0,30","6,3720","6,3150",101.189.760,"641.727,76",12/04/2018,Cierre
CAIXABANK,"3,9400","0,64","3,9580","3,8930",106.322.891,"416.305,58",12/04/2018,Cierre
CELLNEX,"23,4600","-0,51","23,6700","23,3800",1.348.541,"31.737,35",12/04/2018,Cierre
DIA,"3,5100","-0,45","3,5260","3,4820",1.481.839,"5.197,06",12/04/2018,Cierre
ENAGAS,"22,9000","-0,13","22,9500","22,7600",896.890,"20.520,18",12/04/2018,Cierre
ENDESA,"18,0350","0,75","18,0350","17,6200",2.048.648,"36.791,24",12/04/2018,Cierre
FERROVIAL,"17,0800","-1,56","17,3500","17,0800",1.010.166,"17.301,48",12/04/2018,Cierre
GAS NATURAL,"19,8850","-0,33","20,1100","19,8500",904.254,"18.042,86",12/04/2018,Cierre
GRIFOLS CL.A,"23,1900","0,91","23,2700","22,9200",345.254,"7.999,94",12/04/2018,Cierre
IAG,"7,0220","-0,45","7,1580","6,8000",2.605.094,"18.261,52",12/04/2018,Cierre
IBERDROLA,"6,1540","0,33","6,1860","6,1160",11.050.447,"67.975,61",12/04/2018,Cierre
INDITEX,"25,1800","-0,94","25,5500","25,1100",3.272.483,"82.508,27",12/04/2018,Cierre
INDRA A,"11,2300","0,45","11,2500","11,0600",250.359,"2.797,08",12/04/2018,Cierre
INM.COLONIAL,"9,2000","0,22","9,2200","9,0800",963.299,"8.842,67",12/04/2018,Cierre
MAPFRE,"2,7690","1,73","2,7790","2,7250",2.984.017,"8.249,49",12/04/2018,Cierre
MEDIASET,"8,1300","0,30","8,1540","8,0540",926.880,"7.534,70",12/04/2018,Cierre
MELIA HOTELS,"11,4900","0,97","11,5100","11,3700",350.730,"4.018,17",12/04/2018,Cierre
MERLIN,"12,4900","0,73","12,4900","12,3600",1.412.456,"17.551,10",12/04/2018,Cierre
R.E.C.,"16,5850","0,39","16,6200","16,4900",1.302.510,"21.595,86",12/04/2018,Cierre
REPSOL,"15,5250","0,81","15,5700","15,3600",6.492.857,"100.703,04",12/04/2018,Cierre
SIEMENS GAME,"13,2600","-0,67","13,5800","13,1300",1.927.528,"25.581,57",12/04/2018,Cierre
TEC.REUNIDAS,"25,1300","-0,79","25,5000","25,0100",292.072,"7.377,24",12/04/2018,Cierre
TELEFONICA,"8,1900","0,26","8,1970","8,1120",13.463.439,"109.861,99",12/04/2018,Cierre
VISCOFAN,"55,3000","0,27","55,5000","55,0000",107.028,"5.907,96",12/04/2018,Cierre
IBEX 35,"9.761,10","0,14","9.764,60","9.758,80",,,13/04/2018,09:00
ABERTIS,"18,2900","0,47","18,2900","18,2800",117.694,"2.151,47",13/04/2018,09:00
ACCIONA,"66,9000","0,12","66,9000","66,9000",690,"46,16",13/04/2018,09:00
ACERINOX,"11,6800","0,13","11,6800","11,6800",3.613,"42,20",13/04/2018,09:00
ACS,"33,0800","-0,09","33,0800","33,0800",7.023,"232,32",13/04/2018,09:00
AENA,"170,1000","0,24","170,1000","170,1000",1.909,"324,72",13/04/2018,09:00
AMADEUS,"61,4800","-0,07","61,6800","61,4800",13.330,"822,16",13/04/2018,09:00
ARCELORMIT.,"26,5500","1,10","26,6300","26,4700",15.635,"414,56",13/04/2018,09:00
BA.SABADELL,"1,7780","-0,11","1,7780","1,7780",331.185,"588,85",13/04/2018,09:00
BA.SANTANDER,"5,3570","0,26","5,3570","5,3570",614.555,"3.292,17",13/04/2018,09:00
BANKIA,"3,7070","0,16","3,7070","3,7070",23.630,"87,60",13/04/2018,09:00
BANKINTER,"8,3980","-0,02","8,3980","8,3980",7.352,"61,74",13/04/2018,09:00
BBVA,"6,3530","0,38","6,3530","6,3530",278.958,"1.772,22",13/04/2018,09:00
CAIXABANK,"3,9460","0,15","3,9460","3,9460",128.748,"508,04",13/04/2018,09:00
CELLNEX,"23,5300","0,30","23,5300","23,5300",10.434,"245,51",13/04/2018,09:00
DIA,"3,4900","-0,57","3,4910","3,4900",150.683,"526,03",13/04/2018,09:00
ENAGAS,"22,8600","-0,17","22,8600","22,8600",5.245,"119,90",13/04/2018,09:00
ENDESA,"18,0150","-0,11","18,0150","18,0150",8.448,"152,19",13/04/2018,09:00
FERROVIAL,"17,1450","0,38","17,1450","17,1450",24.364,"417,72",13/04/2018,09:00
GAS NATURAL,"19,8650","-0,10","19,8650","19,8650",8.857,"175,94",13/04/2018,09:00
GRIFOLS CL.A,"23,2100","0,09","23,2100","23,2100",7.023,"163,00",13/04/2018,09:00
IAG,"7,1000","1,11","7,1000","7,0980",29.091,"206,49",13/04/2018,09:00
IBERDROLA,"6,1680","0,23","6,1680","6,1680",273.726,"1.688,34",13/04/2018,09:00
INDITEX,"25,1000","-0,32","25,1000","25,1000",117.352,"2.945,54",13/04/2018,09:00
INDRA A,"11,2200","-0,09","11,2200","11,2200",1.565,"17,56",13/04/2018,09:00
INM.COLONIAL,"9,2500","0,54","9,2500","9,2500",132.670,"1.227,20",13/04/2018,09:00
MAPFRE,"2,7730","0,14","2,7730","2,7730",54.328,"150,65",13/04/2018,09:00
MEDIASET,"8,1560","0,32","8,1560","8,1560",32.259,"263,10",13/04/2018,09:00
MELIA HOTELS,"11,5300","0,35","11,5300","11,5300",3.745,"43,18",13/04/2018,09:00
MERLIN,"12,5150","0,20","12,5150","12,5150",95.471,"1.194,82",13/04/2018,09:00
R.E.C.,"16,5950","0,06","16,5950","16,5950",7.589,"125,94",13/04/2018,09:00
REPSOL,"15,5700","0,29","15,5700","15,5250",54.202,"841,54",13/04/2018,09:00
SIEMENS GAME,"13,3350","0,57","13,3350","13,3200",15.850,"211,13",13/04/2018,09:00
TEC.REUNIDAS,"25,3100","0,72","25,3100","25,3100",1.588,"40,19",13/04/2018,09:00
TELEFONICA,"8,1990","0,11","8,1990","8,1990",185.954,"1.524,64",13/04/2018,09:00
VISCOFAN,"55,3000","0,00","55,3000","55,3000",224,"12,39",13/04/2018,09:00
IBEX 35,"9.756,00","0,09","9.764,60","9.753,00",,,13/04/2018,09:01
ABERTIS,"18,3000","0,52","18,3100","18,2800",219.149,"4.007,24",13/04/2018,09:01
ACCIONA,"66,9600","0,21","66,9600","66,9000",852,"57,00",13/04/2018,09:00
ACERINOX,"11,6700","0,04","11,7100","11,6650",9.514,"111,22",13/04/2018,09:01
ACS,"33,2500","0,42","33,2500","33,0800",7.915,"261,94",13/04/2018,09:01
AENA,"170,3000","0,35","170,3000","170,0000",2.297,"390,70",13/04/2018,09:00
AMADEUS,"61,6000","0,13","61,6800","61,4800",16.209,"999,52",13/04/2018,09:01
ARCELORMIT.,"26,7600","1,90","26,7600","26,4700",21.471,"570,49",13/04/2018,09:01
BA.SABADELL,"1,7785","-0,08","1,7790","1,7780",347.712,"618,23",13/04/2018,09:00
BA.SANTANDER,"5,3550","0,22","5,3570","5,3480",659.308,"3.531,79",13/04/2018,09:01
BANKIA,"3,7090","0,22","3,7090","3,7050",26.858,"99,57",13/04/2018,09:01
BANKINTER,"8,3700","-0,36","8,4000","8,3700",15.893,"133,36",13/04/2018,09:01
BBVA,"6,3430","0,22","6,3530","6,3380",303.428,"1.927,49",13/04/2018,09:01
CAIXABANK,"3,9340","-0,15","3,9510","3,9340",150.409,"593,42",13/04/2018,09:01
CELLNEX,"23,4800","0,09","23,5300","23,4800",16.352,"384,64",13/04/2018,09:01
DIA,"3,4980","-0,34","3,4980","3,4870",162.792,"568,31",13/04/2018,09:01
ENAGAS,"22,8300","-0,31","22,8600","22,8300",6.069,"138,73",13/04/2018,09:00
ENDESA,"17,9850","-0,28","18,0150","17,9850",8.921,"160,70",13/04/2018,09:01
FERROVIAL,"17,1450","0,38","17,1450","17,1450",24.802,"425,23",13/04/2018,09:00
GAS NATURAL,"19,8650","-0,10","19,9400","19,8650",9.881,"196,29",13/04/2018,09:00
GRIFOLS CL.A,"23,2600","0,30","23,2600","23,2100",7.061,"163,89",13/04/2018,09:00
IAG,"7,1100","1,25","7,1100","7,0880",46.846,"332,52",13/04/2018,09:01
IBERDROLA,"6,1440","-0,16","6,1680","6,1440",306.508,"1.890,07",13/04/2018,09:01
INDITEX,"24,9600","-0,87","25,1600","24,9600",215.833,"5.414,05",13/04/2018,09:01
INDRA A,"11,1600","-0,62","11,2200","11,1600",1.572,"17,64",13/04/2018,09:00
INM.COLONIAL,"9,2300","0,33","9,2500","9,2250",139.127,"1.286,84",13/04/2018,09:01
MAPFRE,"2,7710","0,07","2,7730","2,7710",56.883,"157,73",13/04/2018,09:00
MEDIASET,"8,1580","0,34","8,1580","8,1560",32.435,"264,54",13/04/2018,09:00
MELIA HOTELS,"11,5100","0,17","11,5300","11,5100",3.838,"44,25",13/04/2018,09:00
MERLIN,"12,4950","0,04","12,5250","12,4900",104.848,"1.312,09",13/04/2018,09:00
R.E.C.,"16,5850","0,00","16,6150","16,5850",7.872,"130,64",13/04/2018,09:00
REPSOL,"15,5450","0,13","15,5700","15,5250",55.631,"863,77",13/04/2018,09:01
SIEMENS GAME,"13,3300","0,53","13,3350","13,3000",17.186,"228,92",13/04/2018,09:00
TEC.REUNIDAS,"25,1200","-0,04","25,3100","25,1200",1.629,"41,23",13/04/2018,09:00
TELEFONICA,"8,1830","-0,09","8,1990","8,1820",201.647,"1.653,10",13/04/2018,09:01
