Nom,Valor,% Dif,Max,Min,Volum,Efectiu (milers euros),Data,Hora
IBEX 35,"9.763,50","0,21","9.806,00","9.738,70",,,10/04/2018,17:38
ABERTIS,"18,2100","0,05","18,2300","18,1900",22.433.494,"408.500,84",10/04/2018,Cierre
ACCIONA,"66,3000","0,70","66,5000","65,8800",191.216,"12.654,38",10/04/2018,Cierre
ACERINOX,"11,5100","0,79","11,5900","11,5100",662.086,"7.638,18",10/04/2018,Cierre
ACS,"33,1500","3,21","33,2800","32,6600",1.469.125,"48.527,11",10/04/2018,Cierre
AENA,"170,1000","-0,50","172,5500","169,2000",254.185,"43.476,25",10/04/2018,Cierre
AMADEUS,"62,0200","1,67","62,0200","61,3000",607.998,"37.603,50",10/04/2018,Cierre
ARCELORMIT.,"26,3000","3,00","26,4850","25,9450",366.911,"9.641,37",10/04/2018,Cierre
BA.SABADELL,"1,6930","0,92","1,7030","1,6740",21.933.973,"37.040,26",10/04/2018,Cierre
BA.SANTANDER,"5,3490","-0,21","5,3990","5,3340",32.595.556,"174.700,75",10/04/2018,Cierre
BANKIA,"3,7220","0,59","3,7400","3,6600",7.755.025,"28.742,31",10/04/2018,Cierre
BANKINTER,"8,4120","0,17","8,4740","8,3700",2.966.934,"25.004,13",10/04/2018,Cierre
BBVA,"6,4210","-0,16","6,4950","6,4080",127.212.639,"823.129,14",10/04/2018,Cierre
CAIXABANK,"3,9810","1,58","3,9900","3,8990",41.012.406,"161.514,41",10/04/2018,Cierre
CELLNEX,"22,9200","2,37","22,9500","22,3400",848.817,"19.323,70",10/04/2018,Cierre
DIA,"3,5250","0,89","3,5490","3,4560",2.622.022,"9.180,33",10/04/2018,Cierre
ENAGAS,"22,7000","-0,18","22,9200","22,5900",942.816,"21.452,61",10/04/2018,Cierre
ENDESA,"18,0300","0,17","18,1750","17,8550",1.557.463,"28.090,83",10/04/2018,Cierre
FERROVIAL,"17,4150","0,93","17,5300","17,3400",1.386.020,"24.180,55",10/04/2018,Cierre
GAS NATURAL,"19,7500","-0,10","19,8700","19,6800",909.358,"17.942,05",10/04/2018,Cierre
GRIFOLS CL.A,"23,1200","0,83","23,2000","22,9800",491.074,"11.357,56",10/04/2018,Cierre
IAG,"7,2020","0,33","7,2780","7,1720",1.865.262,"13.455,29",10/04/2018,Cierre
IBERDROLA,"6,0280","-0,20","6,0700","5,9760",22.824.760,"137.942,76",10/04/2018,Cierre
INDITEX,"25,6500","-1,69","26,2000","25,6100",3.750.316,"96.567,04",10/04/2018,Cierre
INDRA A,"11,1900","0,72","11,2300","11,0700",388.487,"4.337,65",10/04/2018,Cierre
INM.COLONIAL,"9,4300","-0,21","9,5000","9,3800",728.350,"6.864,38",10/04/2018,Cierre
MAPFRE,"2,7420","0,15","2,7740","2,7330",3.020.238,"8.299,65",10/04/2018,Cierre
MEDIASET,"8,1540","0,44","8,2400","8,1340",850.829,"6.955,17",10/04/2018,Cierre
MELIA HOTELS,"11,4700","-0,78","11,6200","11,4200",616.257,"7.121,41",10/04/2018,Cierre
MERLIN,"12,3250","-0,84","12,4800","12,3250",884.943,"10.929,46",10/04/2018,Cierre
R.E.C.,"16,3400","-1,06","16,6000","16,2700",934.516,"15.301,57",10/04/2018,Cierre
REPSOL,"15,2950","2,14","15,2950","15,1000",7.897.482,"120.261,54",10/04/2018,Cierre
SIEMENS GAME,"13,6800","-0,69","13,9400","13,6800",2.625.006,"36.189,90",10/04/2018,Cierre
TEC.REUNIDAS,"25,1400","2,53","25,2700","24,6800",232.128,"5.815,47",10/04/2018,Cierre
TELEFONICA,"8,1960","0,29","8,2370","8,1520",12.143.048,"99.615,23",10/04/2018,Cierre
VISCOFAN,"55,9500","-0,09","56,2500","55,6500",67.944,"3.798,36",10/04/2018,Cierre
IBEX 35,"9.741,90","-0,22","9.745,70","9.738,00",,,11/04/2018,09:00
ABERTIS,"18,2050","-0,03","18,2150","18,2050",32.222,"586,64",11/04/2018,09:00
ACCIONA,"66,3000","0,00","66,3200","66,3000",1.014,"67,23",11/04/2018,09:00
ACERINOX,"11,4350","-0,65","11,4450","11,4350",15.871,"181,64",11/04/2018,09:00
ACS,"33,2300","0,24","33,2900","33,2300",13.976,"464,47",11/04/2018,09:00
AENA,"170,4000","0,18","170,4000","169,8500",1.894,"321,86",11/04/2018,09:00
AMADEUS,"61,7400","-0,45","62,0000","61,7400",6.472,"401,21",11/04/2018,09:00
ARCELORMIT.,"26,3050","0,02","26,3600","26,2900",5.650,"148,68",11/04/2018,09:00
BA.SABADELL,"1,6890","-0,24","1,6890","1,6870",45.916,"77,53",11/04/2018,09:00
BA.SANTANDER,"5,3300","-0,36","5,3320","5,3260",353.594,"1.884,50",11/04/2018,09:00
BANKIA,"3,7200","-0,05","3,7280","3,7200",14.960,"55,66",11/04/2018,09:00
BANKINTER,"8,3900","-0,26","8,3900","8,3900",4.971,"41,71",11/04/2018,09:00
BBVA,"6,4050","-0,25","6,4170","6,4050",131.930,"845,03",11/04/2018,09:00
CAIXABANK,"3,9150","0,36","3,9210","3,9020",191.477,"747,48",11/04/2018,09:00
CELLNEX,"22,8600","-0,26","22,9800","22,8600",4.240,"97,41",11/04/2018,09:00
DIA,"3,5250","0,00","3,5330","3,5250",27.769,"98,11",11/04/2018,09:00
ENAGAS,"22,7000","0,00","22,7100","22,7000",5.724,"129,98",11/04/2018,09:00
ENDESA,"18,0400","0,06","18,0400","18,0400",12.061,"217,58",11/04/2018,09:00
FERROVIAL,"17,3500","-0,37","17,4050","17,3500",6.175,"107,46",11/04/2018,09:00
GAS NATURAL,"19,6950","-0,28","19,6950","19,6950",4.972,"97,92",11/04/2018,09:00
GRIFOLS CL.A,"23,0300","-0,39","23,0300","23,0300",1.457,"33,55",11/04/2018,09:00
IAG,"7,1700","-0,44","7,1860","7,1700",18.368,"131,87",11/04/2018,09:00
IBERDROLA,"6,0500","0,36","6,0500","6,0340",247.906,"1.496,29",11/04/2018,09:00
INDITEX,"25,6500","0,00","25,6600","25,6100",41.399,"1.061,52",11/04/2018,09:00
INDRA A,"11,1600","-0,27","11,1700","11,1600",1.974,"22,05",11/04/2018,09:00
INM.COLONIAL,"9,3200","-1,17","9,4000","9,3200",33.644,"314,92",11/04/2018,09:00
MAPFRE,"2,7330","-0,33","2,7330","2,7330",21.223,"58,00",11/04/2018,09:00
MEDIASET,"8,1500","-0,05","8,1500","8,1500",6.297,"51,32",11/04/2018,09:00
MELIA HOTELS,"11,4700","0,00","11,4700","11,4700",5.541,"63,56",11/04/2018,09:00
MERLIN,"12,3450","0,16","12,3450","12,3400",3.175,"39,18",11/04/2018,09:00
R.E.C.,"16,3750","0,21","16,4100","16,3750",24.553,"402,49",11/04/2018,09:00
REPSOL,"15,2100","-0,56","15,2100","15,2100",20.605,"313,40",11/04/2018,09:00
SIEMENS GAME,"13,5200","-1,17","13,6500","13,5150",27.353,"371,92",11/04/2018,09:00
TEC.REUNIDAS,"25,2300","0,36","25,2300","25,2300",1.435,"36,21",11/04/2018,09:00
TELEFONICA,"8,2230","0,33","8,2230","8,2090",143.005,"1.174,42",11/04/2018,09:00
VISCOFAN,"55,6500","-0,54","55,6500","55,6500",614,"34,17",11/04/2018,09:00
IBEX 35,"9.743,20","-0,21","9.746,80","9.738,00",,,11/04/2018,09:01
ABERTIS,"18,2050","-0,03","18,2150","18,2050",36.607,"666,48",11/04/2018,09:01
ACCIONA,"66,3000","0,00","66,3200","66,3000",1.014,"67,23",11/04/2018,09:00
ACERINOX,"11,4350","-0,65","11,4450","11,4350",15.871,"181,64",11/04/2018,09:00
ACS,"33,2300","0,24","33,2900","33,2300",13.976,"464,47",11/04/2018,09:00
AENA,"170,2500","0,09","170,4000","169,8500",2.034,"345,70",11/04/2018,09:01
AMADEUS,"61,7400","-0,45","62,0000","61,7400",6.472,"401,21",11/04/2018,09:00
ARCELORMIT.,"26,2700","-0,11","26,3600","26,2700",8.616,"226,62",11/04/2018,09:01
BA.SABADELL,"1,6855","-0,44","1,6890","1,6850",61.539,"103,86",11/04/2018,09:01
BA.SANTANDER,"5,3350","-0,26","5,3380","5,3260",390.462,"2.081,19",11/04/2018,09:01
BANKIA,"3,7200","-0,05","3,7280","3,7200",14.960,"55,66",11/04/2018,09:00
BANKINTER,"8,3900","-0,26","8,3900","8,3900",4.971,"41,71",11/04/2018,09:00
BBVA,"6,4160","-0,08","6,4170","6,4050",152.305,"975,57",11/04/2018,09:01
CAIXABANK,"3,9150","0,36","3,9210","3,9020",198.979,"776,85",11/04/2018,09:01
CELLNEX,"22,8600","-0,26","22,9800","22,8600",4.240,"97,41",11/04/2018,09:00
DIA,"3,5300","0,14","3,5330","3,5250",30.269,"106,93",11/04/2018,09:01
ENAGAS,"22,7100","0,04","22,7100","22,7000",5.978,"135,75",11/04/2018,09:01
ENDESA,"17,9900","-0,22","18,0400","17,9900",12.459,"224,74",11/04/2018,09:01
FERROVIAL,"17,4000","-0,09","17,4050","17,3500",6.396,"111,31",11/04/2018,09:02
GAS NATURAL,"19,7200","-0,15","19,7200","19,6950",5.772,"113,70",11/04/2018,09:01
GRIFOLS CL.A,"23,0300","-0,39","23,0300","23,0300",1.857,"42,77",11/04/2018,09:01
IAG,"7,1700","-0,44","7,1860","7,1700",19.128,"137,32",11/04/2018,09:01
IBERDROLA,"6,0460","0,30","6,0500","6,0340",301.330,"1.819,28",11/04/2018,09:01
INDITEX,"25,6800","0,12","25,6800","25,6100",41.899,"1.074,36",11/04/2018,09:01
INDRA A,"11,1400","-0,45","11,1700","11,1400",2.933,"32,75",11/04/2018,09:01
INM.COLONIAL,"9,3200","-1,17","9,4000","9,3200",34.702,"324,78",11/04/2018,09:01
MAPFRE,"2,7340","-0,29","2,7400","2,7330",26.431,"72,26",11/04/2018,09:01
MEDIASET,"8,1540","0,00","8,1540","8,1500",6.621,"53,96",11/04/2018,09:01
MELIA HOTELS,"11,4700","0,00","11,4700","11,4700",5.541,"63,56",11/04/2018,09:00
MERLIN,"12,3450","0,16","12,3450","12,3400",3.175,"39,18",11/04/2018,09:00
R.E.C.,"16,3850","0,28","16,4100","16,3500",42.876,"702,70",11/04/2018,09:01
REPSOL,"15,2050","-0,59","15,2100","15,2050",24.352,"370,38",11/04/2018,09:01
SIEMENS GAME,"13,5150","-1,21","13,6500","13,5150",28.659,"389,57",11/04/2018,09:01
TEC.REUNIDAS,"25,2300","0,36","25,2300","25,2300",1.435,"36,21",11/04/2018,09:00
TELEFONICA,"8,2100","0,17","8,2230","8,2070",163.627,"1.343,73",11/04/2018,09:01
VISCOFAN,"55,6500","-0,54","55,6500","55,6500",614,"34,17",11/04/2018,09:00
IBEX 35,"9.743,80","-0,20","9.748,30","9.738,00",,,11/04/2018,09:02
ABERTIS,"18,2100","0,00","18,2150","18,2050",40.140,"730,82",11/04/2018,09:02
ACCIONA,"66,1000","-0,30","66,3200","66,1000",1.533,"101,64",11/04/2018,09:02
ACERINOX,"11,4450","-0,56","11,4550","11,4350",19.539,"223,64",11/04/2018,09:02
ACS,"33,2300","0,24","33,2900","33,2300",13.976,"464,47",11/04/2018,09:00
AENA,"170,5000","0,24","170,5000","169,8500",2.039,"346,55",11/04/2018,09:02
AMADEUS,"61,8000","-0,35","62,0000","61,7400",6.882,"426,56",11/04/2018,09:02
ARCELORMIT.,"26,3000","0,00","26,3600","26,2600",9.887,"260,00",11/04/2018,09:02
BA.SABADELL,"1,6800","-0,77","1,6890","1,6800",71.323,"120,33",11/04/2018,09:02
BA.SANTANDER,"5,3300","-0,36","5,3380","5,3260",451.370,"2.405,99",11/04/2018,09:03
BANKIA,"3,7280","0,16","3,7280","3,7200",17.170,"63,89",11/04/2018,09:02
BANKINTER,"8,4100","-0,02","8,4120","8,3900",18.323,"154,00",11/04/2018,09:02
BBVA,"6,4000","-0,33","6,4170","6,4000",194.396,"1.245,04",11/04/2018,09:02
CAIXABANK,"3,9110","0,26","3,9210","3,9020",214.311,"836,81",11/04/2018,09:02
CELLNEX,"22,8600","-0,26","22,9800","22,8600",4.240,"97,41",11/04/2018,09:00
DIA,"3,5250","0,00","3,5330","3,5250",31.917,"112,75",11/04/2018,09:02
ENAGAS,"22,7100","0,04","22,7100","22,7000",5.978,"135,75",11/04/2018,09:01
ENDESA,"17,9700","-0,33","18,0400","17,9700",12.622,"227,67",11/04/2018,09:02
FERROVIAL,"17,4000","-0,09","17,4050","17,3500",6.396,"111,31",11/04/2018,09:02
GAS NATURAL,"19,6950","-0,28","19,7200","19,6950",6.365,"125,38",11/04/2018,09:02
GRIFOLS CL.A,"23,1600","0,17","23,1600","23,0300",4.893,"112,93",11/04/2018,09:02
IAG,"7,1700","-0,44","7,1860","7,1700",19.128,"137,32",11/04/2018,09:01
IBERDROLA,"6,0440","0,27","6,0500","6,0340",310.102,"1.872,31",11/04/2018,09:02
INDITEX,"25,7000","0,19","25,7200","25,6100",44.005,"1.128,50",11/04/2018,09:02
INDRA A,"11,1600","-0,27","11,1700","11,1400",3.004,"33,54",11/04/2018,09:02
INM.COLONIAL,"9,2700","-1,70","9,4000","9,2500",48.987,"457,46",11/04/2018,09:02
MAPFRE,"2,7340","-0,29","2,7400","2,7330",26.431,"72,26",11/04/2018,09:01
MEDIASET,"8,1540","0,00","8,1540","8,1500",6.621,"53,96",11/04/2018,09:01
MELIA HOTELS,"11,4600","-0,09","11,4700","11,4600",8.801,"100,91",11/04/2018,09:02
MERLIN,"12,3450","0,16","12,3450","12,3400",3.175,"39,18",11/04/2018,09:00
R.E.C.,"16,3050","-0,21","16,4100","16,3050",51.491,"843,59",11/04/2018,09:02
REPSOL,"15,1950","-0,65","15,2150","15,1950",30.606,"465,47",11/04/2018,09:02
SIEMENS GAME,"13,5850","-0,69","13,6500","13,5150",30.224,"410,82",11/04/2018,09:02
TEC.REUNIDAS,"25,2300","0,36","25,2300","25,2300",1.435,"36,21",11/04/2018,09:00
TELEFONICA,"8,2040","0,10","8,2230","8,2040",164.653,"1.352,15",11/04/2018,09:02
VISCOFAN,"55,6500","-0,54","55,6500","55,6500",614,"34,17",11/04/2018,09:00
IBEX 35,"9.741,90","-0,22","9.748,30","9.738,00",,,11/04/2018,09:03
ABERTIS,"18,2100","0,00","18,2150","18,2050",41.818,"761,38",11/04/2018,09:03
ACCIONA,"66,1000","-0,30","66,3200","66,1000",1.533,"101,64",11/04/2018,09:02
ACERINOX,"11,4550","-0,48","11,4550","11,4350",22.614,"258,85",11/04/2018,09:03
ACS,"33,2300","0,24","33,2900","33,2300",13.976,"464,47",11/04/2018,09:00
AENA,"170,5500","0,26","170,5500","169,8500",2.206,"375,03",11/04/2018,09:03
AMADEUS,"61,8000","-0,35","62,0000","61,7400",6.882,"426,56",11/04/2018,09:02
ARCELORMIT.,"26,3000","0,00","26,3600","26,2600",9.887,"260,00",11/04/2018,09:02
BA.SABADELL,"1,6800","-0,77","1,6890","1,6800",71.323,"120,33",11/04/2018,09:02
BA.SANTANDER,"5,3340","-0,28","5,3380","5,3260",461.821,"2.461,74",11/04/2018,09:03
BANKIA,"3,7140","-0,21","3,7280","3,7140",25.473,"94,77",11/04/2018,09:03
BANKINTER,"8,4100","-0,02","8,4120","8,3900",18.323,"154,00",11/04/2018,09:02
BBVA,"6,4070","-0,22","6,4170","6,4000",195.888,"1.254,59",11/04/2018,09:03
CAIXABANK,"3,9110","0,26","3,9210","3,9020",217.311,"848,54",11/04/2018,09:03
CELLNEX,"22,9800","0,26","22,9800","22,8600",5.608,"128,82",11/04/2018,09:03
DIA,"3,5250","0,00","3,5330","3,5250",32.468,"114,69",11/04/2018,09:03
ENAGAS,"22,7100","0,04","22,7100","22,7000",5.978,"135,75",11/04/2018,09:01
ENDESA,"17,9700","-0,33","18,0400","17,9700",12.622,"227,67",11/04/2018,09:02
FERROVIAL,"17,3750","-0,23","17,4050","17,3500",7.087,"123,32",11/04/2018,09:03
