Nom,Valor,% Dif,Max,Min,Volum,Efectiu (milers euros),Data,Hora
IBEX 35,"9.767,30","0,21","9.858,90","9.744,40",,,13/04/2018,17:38
ABERTIS,"18,3000","0,52","18,3100","18,2800",8.030.985,"146.892,53",13/04/2018,Cierre
ACCIONA,"68,0000","1,77","68,1400","66,8600",172.988,"11.729,56",13/04/2018,Cierre
ACERINOX,"11,5850","-0,69","11,7100","11,5600",484.747,"5.627,92",13/04/2018,Cierre
ACS,"33,2600","0,45","33,6500","33,0800",476.851,"15.906,37",13/04/2018,Cierre
AENA,"171,9000","1,30","172,7000","170,0000",192.622,"33.109,72",13/04/2018,Cierre
AMADEUS,"61,6800","0,26","61,7800","61,1200",912.843,"56.251,30",13/04/2018,Cierre
ARCELORMIT.,"26,5050","0,93","26,8650","26,3900",280.501,"7.471,34",13/04/2018,Cierre
BA.SABADELL,"1,7420","-2,13","1,7800","1,7365",15.624.744,"27.416,70",13/04/2018,Cierre
BA.SANTANDER,"5,3690","0,49","5,4700","5,3370",38.275.198,"206.728,91",13/04/2018,Cierre
BANKIA,"3,6620","-1,05","3,7380","3,6520",31.220.584,"115.420,91",13/04/2018,Cierre
BANKINTER,"8,4580","0,69","8,5660","8,3700",2.236.658,"18.889,37",13/04/2018,Cierre
BBVA,"6,4100","1,28","6,4980","6,3380",46.476.461,"296.714,37",13/04/2018,Cierre
CAIXABANK,"3,9480","0,20","4,0150","3,9310",32.073.381,"127.774,19",13/04/2018,Cierre
CELLNEX,"23,5500","0,38","23,6700","23,4600",1.898.614,"44.747,45",13/04/2018,Cierre
DIA,"3,5090","-0,03","3,5590","3,4870",1.765.355,"6.213,97",13/04/2018,Cierre
ENAGAS,"22,7700","-0,57","22,8900","22,6300",630.967,"14.360,93",13/04/2018,Cierre
ENDESA,"18,4900","2,52","18,5400","17,9450",3.336.969,"61.256,36",13/04/2018,Cierre
FERROVIAL,"17,2200","0,82","17,2900","17,1450",958.432,"16.500,67",13/04/2018,Cierre
